Day,Bat,Moth,Light,Sound,Interaction,contact,catch,eat,miss,knock-off,tether,avoid,investigate,drop,total,AUDIO,VIDEO,Time,Notes
7/14/2015,Beau,cycnia,1,1,1,0,0,0,0,0,1,1,0,0,1,3,16 09 07,2.92,
7/14/2015,Beau,cycnia,1,1,2,0,0,0,0,0,0,1,1,0,1,3,16 09 07,6.15,sweet avoid
7/14/2015,Beau,cycnia,1,1,3,1,1,0,0,0,0,0,0,1,1,3,16 09 07,13.18,
7/14/2015,Beau,cycnia,1,1,1,1,0,0,0,0,1,1,0,0,1,5,16 26 57,6,Stops flying at 5.18
7/14/2015,Beau,cycnia,1,1,2,1,1,0,0,0,0,0,0,1,1,5,16 26 57,10.06,Stops flying at 7.61
7/14/2015,Beau,cycnia,1,1,1,1,0,0,0,1,0,1,0,0,1,7,16 32 12,58.65,Stops flying at 57.86
7/14/2015,Beau,cycnia,1,1,2,1,1,0,0,0,0,0,0,1,1,7,16 32 12,108.56,Stops flying at 107.21
7/14/2015,Beau,cycnia,1,1,1,0,0,0,0,0,0,1,1,0,1,9,16 39 36,28.06,
7/14/2015,Beau,cycnia,1,1,2,0,0,0,0,0,0,1,1,0,1,9,16 39 36,31.31,Stops flying 27.91
7/14/2015,Beau,cycnia,1,1,3,0,0,0,0,1,1,1,0,0,1,9,16 39 36,38.54,
7/14/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,12,16 59 18,37.42,cool drop video - cam2
7/14/2015,Tuna,cycnia,1,0,2,1,1,0,0,0,0,0,0,1,1,17,17 08 42,48.31,Stops flying at 47.85. note in original spreadsheet refers to interaction not caught on film.
7/14/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,19,17 11 23,9.02,
7/14/2015,Tuna,cycnia,1,0,2,0,0,0,0,0,1,1,0,0,1,19,17 11 23,39.54,
7/14/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,24,17 16 29,7.14,
7/15/2015,Beau,cycnia,1,1,1,1,0,0,0,0,1,1,0,0,1,35,12 51 38,19.1,Stops flying 18.54
7/15/2015,Beau,cycnia,1,1,2,1,1,0,0,0,0,0,0,1,1,35,12 51 38,22.18,Stops flying 20.31
7/15/2015,Beau,cycnia,1,1,1,0,0,0,0,0,0,1,0,0,1,37,13 02 22,12.28,
7/15/2015,Beau,cycnia,1,1,2,0,0,0,0,0,0,1,1,0,1,37,13 02 22,15.3,Stops flying 14.42. Pretty cool shot from cam 1 but Barber's hand looks too close
7/15/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,59,14 00 44,3.54,"""avoid"" from O.S. was when Barber's hand was in the way"
7/15/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,62,14 04 29,2.73,nice drop
7/15/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,67,14 10 56,7.35,
7/15/2015,Tuna,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,70,14 12 58,7.55,also good drop shot
7/16/2015,Beau,cycnia,1,1,1,1,1,1,0,0,0,0,0,0,1,76,15 56 93,3.46,
7/16/2015,Beau,cycnia,1,1,1,1,0,0,0,0,1,1,0,0,1,77,15 58 51,5.46,
7/16/2015,Beau,cycnia,1,1,2,0,0,0,0,0,0,1,1,0,1,77,15 58 51,8.71,stops flying at 7.24
7/16/2015,Beau,cycnia,1,1,3,0,0,0,0,0,0,1,1,0,1,77,15 58 51,47.3,stops flying 46.44
7/16/2015,Beau,cycnia,1,1,4,0,0,0,0,0,0,1,1,0,1,77,15 58 51,50.59,
7/16/2015,Beau,cycnia,1,1,5,0,0,0,0,0,0,1,1,0,1,77,15 58 51,57.28,"Not flying, Barber's hand might be too close"
7/16/2015,Beau,cycnia,1,1,6,0,0,0,0,0,1,1,0,0,1,77,15 58 51,64.05,
7/16/2015,Beau,cycnia,1,1,6,0,0,0,0,0,1,1,0,0,1,77,15 58 51,74.84,
7/16/2015,Beau,cycnia,1,1,1,0,0,0,0,0,0,1,1,0,1,89,16 13 49,47.63,stops flying 46.9. repeatedly landed on wall throughout this trial
7/16/2015,Beau,cycnia,1,1,2,1,0,0,0,0,0,1,0,0,1,89,16 13 49,71.54,This bat just bitch slapped this moth
7/16/2015,Beau,cycnia,1,1,3,0,0,0,0,0,1,1,0,0,1,89,16 13 49,74.9,moth not flying
7/16/2015,Beau,cycnia,1,1,4,1,0,0,0,0,0,0,0,0,1,89,16 13 49,81.83,This one is a bit ambiguous - definitely touched the moth and definitely did not try to get it off the tether
7/16/2015,Tuna,cycnia,1,0,1,0,0,0,0,0,0,1,0,0,1,91,16 35 45,12,amazing hovering and deciding behavior
7/16/2015,Tuna,cycnia,1,0,2,0,0,0,0,0,0,1,1,0,1,91,16 35 45,32.49,
7/16/2015,Tuna,cycnia,1,0,3,0,0,0,0,0,1,1,0,0,1,91,16 35 45,42.23,Stops flying 41.2
7/16/2015,Tuna,cycnia,1,0,4,1,1,0,0,0,0,0,0,1,1,91,16 35 45,51.67,
7/16/2015,Tuna,cycnia,1,0,1,0,0,0,0,0,1,1,0,0,1,96,16 41 15,6.05,Stops flying 5.76
7/16/2015,Tuna,cycnia,1,0,2,0,0,0,0,0,0,1,0,0,1,96,16 41 15,8.59,
7/16/2015,Tuna,cycnia,1,0,3,1,1,0,0,0,0,0,0,1,1,96,16 41 15,16.15,
7/16/2015,Tuna,cycnia,1,0,4,0,0,0,0,0,1,1,0,0,1,96,16 41 15,60.99,Stops flying at 60
7/16/2015,Tuna,cycnia,1,0,6,1,1,0,0,0,1,0,0,0,1,96,16 41 15,86,
7/16/2015,Tuna,cycnia,1,0,7,0,0,0,0,0,0,1,0,0,1,96,16 41 15,89.07,
7/16/2015,Tuna,cycnia,1,0,8,1,0,0,0,0,0,1,0,0,1,96,16 41 15,93.43,"several more interactions at the end of this video, but each time the moth is swinging wildly"
7/16/2015,Tuna,cycnia,1,0,1,0,0,0,0,0,0,1,1,0,1,100,16 49 11,3.53,
7/16/2015,Tuna,cycnia,1,0,2,0,0,0,0,0,1,1,0,0,1,100,16 49 11,5.87,stops flying 5.48
7/16/2015,Tuna,cycnia,1,0,3,0,0,0,0,0,1,1,0,0,1,100,16 49 11,16.29,
7/16/2015,Tuna,cycnia,1,0,4,0,0,0,0,1,1,1,0,0,1,100,16 49 11,26.1,stops flying 25.63
7/17/2017,Beau,cycnia,1,1,1,1,1,1,0,0,0,0,0,0,1,103,12 04 59,13.47,stops flying 12.11
7/17/2017,Beau,cycnia,1,1,1,0,0,0,0,0,1,1,0,0,1,110,12 20 26,10.6,Stops flying 9.98
7/17/2017,Beau,cycnia,1,1,1,0,0,0,0,1,1,1,0,0,1,110,12 20 26,61.32,"moth is swinging, but I think it's OK"
7/17/2017,Beau,cycnia,1,1,1,0,0,0,0,0,0,1,0,0,1,111,12 25 07,3.29,Stops flying 1.85
7/17/2017,Beau,cycnia,1,1,2,1,1,1,0,0,0,0,0,0,1,111,12 25 07,15.42,all the eats are determined from O.S.
7/17/2017,Tuna,cycnia,0,0,1,0,0,0,0,1,1,1,0,0,1,118,12 52 59,7.35,Stops flying 6.76
7/17/2017,Tuna,cycnia,0,0,1,0,0,0,0,0,0,1,1,0,1,123,12 57 31,26.03,stops flying 25.34
7/17/2017,Tuna,cycnia,0,0,2,1,0,0,0,1,0,1,0,0,1,123,12 57 31,29.47,Stops flying 28.52
7/17/2017,Tuna,cycnia,0,0,1,1,1,0,0,0,1,0,0,0,1,129,13 06 35,1.59,she sort of closes around it but quickly reopens and it seems to slip out the top of the basket
7/17/2017,Tuna,cycnia,0,0,2,0,0,0,0,0,0,1,1,0,1,129,13 06 35,4.9,
7/18/2017,Beau,cycnia,0,0,1,1,1,1,0,0,0,0,0,0,1,141,12 36 15,3.48,
9/19/2017,Dot,cycnia,1,0,1,0,0,0,1,0,0,0,0,0,1,167,14 55 26,3.84,
9/19/2017,Dot,cycnia,1,0,1,1,0,0,0,0,0,1,0,0,1,168,15 00 59,30.65,stops flying at 29.75
9/20/2017,Dot,cycnia,1,0,0,0,0,0,,0,0,1,0,0,1,192,14 17 58,,Moth was on the tether a long time - does that count as avoid? Yes. 3min
9/20/2017,Dot,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,194,14 23 16,34.6,Moth stopped flying at 33 - she gave it a wide berth for a long time
9/19/2017,Dot,cycnia,1,0,0,0,0,0,0,0,0,1,0,0,1,181,16 09 55,61.54,Very interesting avoid - full basket
9/20/2017,Dot,cycnia,1,0,2,0,0,0,0,0,0,1,0,0,1,192,14 17 58,88.56,This is the only interaction with a  fluttering moth all day
9/20/2017,Squirt,cycnia,1,1,1,0,0,0,0,0,0,1,0,0,1,228,17 01 13,22.31,This is the only interaction with a  fluttering moth all day
9/20/2017,Squirt,cycnia,1,1,1,1,1,0,0,0,0,0,0,1,1,234,17 13 43,12.12,Stops flying at 11.01
9/21/2017,Dot,cycnia,1,0,1,0,0,0,0,0,0,1,0,0,1,236,11 50 59,31.7,"Does this count? No investigation, just flying low"
9/21/2017,Dot,cycnia,1,0,2,0,0,0,0,0,0,1,0,0,1,236,11 50 59,40.6,Same
9/21/2017,Dot,cycnia,1,0,1,0,0,0,0,0,0,1,0,0,1,241,11 57 05,11.94,Same
9/21/2017,Dot,cycnia,1,0,1,0,0,0,0,0,1,1,0,0,1,242,12 00 26,5.3,stop flying at 3.6
9/21/2017,Dot,cycnia,1,0,2,0,0,0,0,0,0,1,0,0,1,242,12 00 26,10.03,"same as before, flying low"
9/21/2017,Dot,cycnia,1,0,1,0,0,0,0,0,0,1,0,0,1,246,12 04 16,5.1,
9/21/2017,Dot,cycnia,1,0,2,1,1,0,0,0,0,0,0,1,1,246,12 04 16,31.32,
9/21/2017,Dot,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,249,12 09 49,4,stops flying at 3.13
9/21/2017,Squirt,cycnia,1,1,1,0,0,0,0,0,1,1,0,0,1,258,13 51 41,18.9,stop flying 18.23
9/21/2017,Squirt,cycnia,1,1,1,0,0,0,0,0,1,1,0,0,1,256,13 56 45,16.4,stops flying 16.09
9/21/2017,Squirt,cycnia,1,1,2,1,0,0,0,0,0,1,0,0,1,256,13 56 45,38.69,stops flying at 38.06
9/21/2017,Squirt,cycnia,1,1,1,1,0,0,0,0,0,1,0,0,1,262,14 29 46,16.9,stops flying at 15.85
9/21/2017,Squirt,cycnia,1,1,1,1,1,0,0,0,0,1,0,0,1,265,14 39 07 ,3.38,check this - puts it in her basket but never bites
9/21/2017,Squirt,cycnia,1,1,2,1,0,0,0,0,0,1,0,0,1,265,14 39 07 ,7.48,stops flying at 6.96
9/21/2017,Squirt,cycnia,1,1,3,1,1,0,0,0,0,0,0,1,1,265,14 39 07 ,25.42,stops flying at 25.15
9/21/2017,Dot,cycnia,1,0,1,1,0,0,0,1,1,0,0,0,1,270,14 46 48,11.02,I don’t think this counts bc JJR's hand is too close
9/22/2017,Dot,cycnia,1,0,1,1,0,0,0,1,1,1,0,0,1,280,16 03 47,6.45,stops flying at 5.57
9/22/2017,Dot,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,284,16 13 17,73.38,
9/22/2017,Dot,cycnia,1,0,1,1,1,0,0,0,0,0,0,1,1,289,16 28 13,49.13,stops flying at 47.41
9/22/2017,Dot,cycnia,1,0,1,1,0,0,0,0,0,1,0,0,1,293,16 41 54,50.75,stops flying at 50.22
9/22/2017,Squirt,cycnia,1,1,1,1,1,0,0,0,0,0,0,1,1,302,17 11 17,7.25,
